review_id,sentence_id,Time,sentence_type,sentence
35,10001,2015-08-29 00:00:00,q,Not at all.
35,10002,2015-08-29 00:00:00,q,You can easily secure a job on campus or by applying to the company directly as far as you convince them that you're good enough.
35,10003,2015-08-29 00:00:00,q,Work ex won't be a requisite then.
37,10004,2015-08-29 00:00:00,q,"No, It's not."
37,10005,2015-08-29 00:00:00,q,Though It helps you in understanding business of your domain before actually entering officially.
38,10006,2015-08-29 00:00:00,q,No it isn't necessary.
38,10007,2015-08-29 00:00:00,q,But it's a benefit if one does that.
38,10008,2015-08-29 00:00:00,q, More beneficial if one gets the job in the domain of his internship.
39,10009,2015-08-29 00:00:00,q,Nothing is necessary.
52,10010,2015-10-21 00:00:00,q,You can get free gift coupon of Rs.100 on every purchase of Rs.300 or more by just following these steps: 1.
52,10011,2015-10-21 00:00:00,q,Click on the link given below Amazon Sign In 2.
52,10012,2015-10-21 00:00:00,q, Make a new account on amazon via this link and shop for Rs.300 or more and you will get an assured gift voucher of Rs.100 delivered to u.
52,10013,2015-10-21 00:00:00,q,3.
52,10014,2015-10-21 00:00:00,q,The gift voucher is delivered by Qwikcilver after 30 days of the item being shipped (because amazon offers a 30 day replacement Guarantee). 4.
52,10015,2015-10-21 00:00:00,q,This is not applicable on purchases of kindle e books and gift cards.
52,10016,2015-10-21 00:00:00,q,5.
52,10017,2015-10-21 00:00:00,q,"This gift voucher gets automatically applied on your amazon account, so whenever u make your next purchase of any amount u get Rs.100 off."
52,10018,2015-10-21 00:00:00,q,6.
52,10019,2015-10-21 00:00:00,q,Everytime u want to purchase something just follow these steps and get amazing discounts.
16,10020,2016-02-27 00:00:00,q,Items which are not available in India are there in  Amazon.com
51,10021,2016-09-15 00:00:00,q,Amazon Promo Code 20 OFF: Get 2016 Promotional Code & FREE Shipping You can find  promo code for 10% off on Amazon  on this site easily.
51,10022,2016-09-15 00:00:00,q,"Honestly, it is one of my favorite coupon site."
55,10023,2016-12-27 00:00:00,q,Just following and keep checking out frequently this site:  Amazon FREE Shipping Coupon Code 2016: Get Promo Codes 10 OFF December  I believe you can what all deals you need.
55,10024,2016-12-27 00:00:00,q,They is one of my favorite site to get coupon codes and deals whenever I need.
6,10025,2017-01-18 00:00:00,q,"Hi,Now Amazon India Is Back Again With Its Amazon Great Indian Sale To Offer Great Deals On Mobiles Electronics Laptops ,Home Products And Much More."
6,10026,2017-01-18 00:00:00,q, Amazon Great Indian Sale  Will Be Live From 20th to 22nd January 2017.
6,10027,2017-01-18 00:00:00,q,During Amazon Great Indian Sale You Will get Additional To 15% Off With SBI Bank Debit And credit Cards And Amazon Pay Balance
11,10028,2017-01-18 00:00:00,q,"Well, Right now we can not say anything about the offer."
11,10029,2017-01-18 00:00:00,q,But yes we can expect great discount on this Amazon Great Indian Sale because it’s first sale of the year 2017.
11,10030,2017-01-18 00:00:00,q,"So, We can say Amazon India will take care of their customers."
11,10031,2017-01-18 00:00:00,q,"However, I have find some websites like  Tricks N Tech  updates great deals and offers on the sale days."
54,10032,2017-04-10 00:00:00,q,"It’s supper easy to get  Amazon promo code for 10% off ,  just go to  Amazon Coupon Code 10% OFF: Entire Order 10% OFF Codes 2017  . On this site you can also explore various deals such as: Up To An Extra 35% Off With Amazon's Most Popular Coupons, Up To 80% OFF Outlet Items and so on."
54,10033,2017-04-10 00:00:00,q,Just visit and enjoy now!
